Academic_Manager_Name,Course,Cohort,Term,"Project Type (ARP, IBR 1, IBR 2, Industry Project)",Total Number of students/teams  mentoring/mentored,"Q1_Are Students_motivated to use AI Mentor? (Yes/No, as they don't find it useful)",Q2_Are students using AI Mentor effectively ? (Yes/No),Q3_Have you mandated students to meet you only after obtaining suggestions from AI Mentor? (Yes/No),"Q4_Improvement_observed in student's logical thinking, Presentation & Report Structure with the use of AI Mentor (Yes/No)",Approx. percentage of students under your guidance who levelled up using AI Mentor.
AM_Gupta,MGB,Jul-23,Term 4,ARP,20,Yes,Yes,Yes,No,89
AM_Gupta,GMBA,Jul-22,Term 3,IBR 2,5,Yes,Yes,Yes,Yes,70
AM_Patel,MGB,Jul-22,Term 3,IBR 1,18,Yes,Yes,Yes,Yes,52
AM_Kumar,GCGM,Jul-22,Term 1,Industry Project,25,Yes,No,Yes,No,32
AM_Kumar,GMBA,Jan-24,Term 4,IBR 2,16,Yes,Yes,Yes,No,28
AM_Kumar,MGB,Jul-23,Term 4,IBR 2,24,No,Yes,No,No,74
AM_Sharma,GCGM,Jan-23,Term 2,IBR 1,25,No,No,No,Yes,62
AM_Jain,MGB,Jul-23,Term 3,IBR 2,20,Yes,Yes,Yes,No,37
AM_Kumar,MGB,Jul-24,Term 1,ARP,5,Yes,No,Yes,Yes,90
AM_Gupta,GMBA,Jan-24,Term 4,IBR 1,16,No,Yes,No,Yes,79
AM_Patel,MGB,Jan-23,Term 1,IBR 1,24,Yes,Yes,No,Yes,42
AM_Sharma,GMBA,Jul-24,Term 4,IBR 2,6,Yes,No,Yes,Yes,53
AM_Agarwal,GCGM,Jan-22,Term 2,IBR 2,17,No,No,Yes,Yes,61
AM_Patel,GMBA,Jan-24,Term 3,IBR 2,23,Yes,No,No,No,29
AM_Gupta,MGB,Jul-22,Term 4,IBR 2,16,No,No,Yes,Yes,76
AM_Sharma,GCGM,Jan-22,Term 3,IBR 1,9,Yes,Yes,No,Yes,49
AM_Verma,MGB,Jul-24,Term 1,Industry Project,20,No,Yes,Yes,No,22
AM_Kumar,GCGM,Jul-22,Term 2,IBR 1,25,Yes,Yes,Yes,Yes,53
AM_Sharma,GMBA,Jul-23,Term 1,IBR 2,7,Yes,No,No,No,41
AM_Kumar,MGB,Jan-24,Term 2,IBR 1,24,No,Yes,No,No,28
AM_Kumar,MGB,Jul-23,Term 2,ARP,5,Yes,No,Yes,Yes,42
AM_Jain,GMBA,Jan-24,Term 1,ARP,7,No,Yes,Yes,No,86
AM_Verma,MGB,Jan-22,Term 4,IBR 1,20,No,No,Yes,No,37
AM_Gupta,MGB,Jul-22,Term 1,IBR 2,24,No,No,Yes,Yes,20
AM_Patel,GMBA,Jan-22,Term 4,IBR 1,15,No,No,Yes,Yes,74
AM_Gupta,MGB,Jan-24,Term 4,IBR 2,24,No,No,Yes,No,90
AM_Jain,GCGM,Jan-23,Term 4,IBR 2,14,No,No,Yes,Yes,49
AM_Jain,GMBA,Jul-22,Term 1,IBR 1,21,No,No,Yes,Yes,69
AM_Singh,GCGM,Jul-22,Term 4,Industry Project,7,Yes,No,Yes,No,30
AM_Singh,GMBA,Jul-23,Term 4,IBR 2,24,Yes,Yes,No,No,21
AM_Kumar,GMBA,Jan-24,Term 3,IBR 1,6,Yes,Yes,Yes,No,50
AM_Singh,GCGM,Jan-22,Term 3,Industry Project,16,No,No,Yes,Yes,28
AM_Patel,GMBA,Jan-23,Term 3,IBR 2,13,Yes,Yes,No,No,20
AM_Gupta,GCGM,Jul-23,Term 1,ARP,21,No,No,Yes,No,88
AM_Gupta,GMBA,Jul-23,Term 4,Industry Project,12,No,No,No,Yes,81
AM_Patel,MGB,Jan-22,Term 4,IBR 1,12,No,No,No,Yes,53
AM_Kumar,MGB,Jan-22,Term 4,IBR 2,7,Yes,No,No,No,47
AM_Gupta,GCGM,Jul-24,Term 2,Industry Project,11,Yes,Yes,No,Yes,49
AM_Kumar,GCGM,Jan-24,Term 3,IBR 1,8,Yes,Yes,No,Yes,89
AM_Singh,MGB,Jan-23,Term 3,Industry Project,23,No,No,Yes,No,70
AM_Kumar,GMBA,Jul-22,Term 1,Industry Project,20,Yes,No,No,Yes,78
AM_Patel,GMBA,Jan-24,Term 4,IBR 2,5,Yes,Yes,No,Yes,61
AM_Agarwal,GMBA,Jan-23,Term 2,IBR 2,12,No,No,No,No,43
AM_Jain,MGB,Jul-22,Term 4,IBR 2,16,No,No,No,Yes,36
AM_Kumar,GCGM,Jul-24,Term 3,IBR 1,22,No,No,Yes,Yes,39
AM_Jain,GCGM,Jul-22,Term 4,Industry Project,9,No,No,No,No,26
AM_Verma,GCGM,Jul-24,Term 2,ARP,11,No,No,Yes,No,62
AM_Gupta,MGB,Jan-23,Term 3,IBR 2,5,No,Yes,No,Yes,88
AM_Sharma,MGB,Jan-23,Term 3,Industry Project,19,Yes,No,No,No,38
AM_Sharma,GMBA,Jan-23,Term 4,Industry Project,7,Yes,Yes,No,Yes,60
AM_Agarwal,GMBA,Jan-23,Term 3,Industry Project,13,No,No,No,No,41
